Reference area,MEASURE,Domain,UNIT_MEASURE,Unit of measure,Measure,Abbreviations,Age,Sex,Education level,OBS_VALUE,TIME_PERIOD,
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,76.19465119,2006,Employment rate_Age:Total_Sex:Total_Education:Total
United States,5_2_DEP,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as negative,,Total,Total,Total,2.7,2006,Perceived health as negative_Age:Total_Sex:Total_Education:Total
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,80.76646496,2006,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Total,Total,23.19897652,2006,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Total_Education:Total"
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Male,Total,0.501160066,2006,Long-term unemployment rate_Age:Total_Sex:Male_Education:Total
United States,7_1_DEP,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Lack of social support,,Total,Total,Total,3.507277434,2006,Lack of social support_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Young,Total,Total,96.1,2006,Perceived health as positive_Age:Young_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Old,Total,Total,75.2,2006,Perceived health as positive_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,69.22651308,2006,Employment rate_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,79.81246597,2006,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,4.843260188,2006,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
United States,6_2,Knowledge and skills,PO,Points,Student mathematics skills,,Total,Total,Total,474.3521577,2006,Student mathematics skills_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF,Percentage of labour force,Long-term unemployment rate,,Total,Total,Total,0.469343942,2006,Long-term unemployment rate_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as positive,,Total,Total,Total,88.2,2006,Perceived health as positive_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Social support,,Total,Total,Total,95.48943679,2006,Social support_Age:Total_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Young,Total,Total,54.24990526,2006,Employment rate_Age:Young_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Total,75.2,2006,Life expectancy at birth_Age:Total_Sex:Male_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Female,Total,14.690506,2006,"Youth not in employment, education or training_Age:Total_Sex:Female_Education:Total"
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Old,Total,Total,6.110823408,2006,Long hours in paid work_Age:Old_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Middle-aged,Total,Total,0.415190176,2006,Long-term unemployment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Male,Total,16.73205355,2006,Long hours in paid work_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Middle-aged,Total,Total,89.15000153,2006,Perceived health as positive_Age:Middle-aged_Sex:Total_Education:Total
United States,6_3,Knowledge and skills,PO,Points,Student science skills,,Total,Total,Total,488.9068373,2006,Student science skills_Age:Total_Sex:Total_Education:Total
United States,2_2,Work and job quality,PT_WG_SAL_M_MEDIAN,Percentage of the median wages of men,Gender wage gap,,Total,Total,Total,19.24629879,2006,Gender wage gap_Age:Total_Sex:Total_Education:Total
United States,10_3,Safety,DT,Deaths,Road deaths,,Total,Total,Total,14.313296,2006,Road deaths_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Old,Total,Total,0.441881081,2007,Long-term unemployment rate_Age:Old_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Male,Total,10.64182,2007,"Youth not in employment, education or training_Age:Total_Sex:Male_Education:Total"
United States,10_2,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Feeling safe at night,,Total,Total,Total,74.18870233,2007,Feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Female,Total,87,2007,Perceived health as positive_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Tertiary education,1.458214641,2007,Labour market insecurity_Age:Total_Sex:Total_Education:Tertiary education
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Female,Total,12.8526144,2007,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Female_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Tertiary education,83.325432,2007,Employment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Female,Total,6.358409354,2007,Long hours in paid work_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Negative affect balance,,Total,Total,Total,10.84567579,2007,Negative affect balance_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Total,Total,5.9,2007,Homicides_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Male,Total,88.8,2007,Perceived health as positive_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Secondary education,84.6,2007,Perceived health as positive_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Young,Total,Total,0.688661815,2007,Long-term unemployment rate_Age:Young_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Male,Total,34.58718109,2007,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Male_Education:Total"
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Total,Total,78.1,2007,Life expectancy at birth_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Middle-aged,Total,Total,13.26644744,2007,Long hours in paid work_Age:Middle-aged_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Male,Total,9.2,2007,Homicides_Age:Total_Sex:Male_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Old,Total,Total,2.086834431,2007,Labour market insecurity_Age:Old_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Primary education,74.2,2007,Perceived health as positive_Age:Total_Sex:Total_Education:Primary education
United States,2_8,Work and job quality,USD_PPP,"US dollars, PPP converted",Average annual gross earnings,,Total,Total,Total,62242,2007,Average annual gross earnings_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Female,Total,2.5,2007,Homicides_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Primary education,6.754537582,2007,Labour market insecurity_Age:Total_Sex:Total_Education:Primary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Tertiary education,92.1,2007,Perceived health as positive_Age:Total_Sex:Total_Education:Tertiary education
United States,2_4,Work and job quality,PT_POP_Y15T24,Percentage of population aged 15-24 years,"Youth not in employment, education or training",,Total,Total,Total,12.11044,2007,"Youth not in employment, education or training_Age:Total_Sex:Total_Education:Total"
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Middle-aged,Total,Total,2.550398111,2007,Labour market insecurity_Age:Middle-aged_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,61.80303682,2007,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Male,Total,3.797103882,2007,Labour market insecurity_Age:Total_Sex:Male_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,58.291149,2007,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,4.029511918,2007,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,83.46261207,2007,Employment rate_Age:Total_Sex:Male_Education:Total
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,24.53512204,2007,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,41253,2007,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Total,80.6,2007,Life expectancy at birth_Age:Total_Sex:Female_Education:Total
United States,10_2_DEP,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Not feeling safe at night,,Total,Total,Total,24.36177058,2007,Not feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,73.612854,2007,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,11.56683911,2007,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,0.410674644,2007,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,76.1909878,2007,Employment rate_Age:Total_Sex:Total_Education:Total
United States,5_2_DEP,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as negative,,Total,Total,Total,3,2007,Perceived health as negative_Age:Total_Sex:Total_Education:Total
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,80.7944817,2007,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST,Percentage of previous earnings lost,Labour market insecurity,,Total,Total,Total,3.728052616,2007,Labour market insecurity_Age:Total_Sex:Total_Education:Total
